Nom;Taille de la boite;Nb de joueurs;Temps;Categorie;Duplicata;Image
Exit le jeu : le phare solitaire;Moyen;1a4;1h30 min a 3h;Escape game;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Exit le jeu : le tombeau du pharaon;Petit;1a4;45 min a 1h30 min;Escape game;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Race for the galaxy extension : artefacts aliens;;;;liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Dixit;Grand;3a12;30 min;Reflexion, joli;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Novembre rouge : edition revisee;Grand;1a8;1a2h;Coop;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Trivial poursuit : edition genius;Grand;2a36;30a45 min;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Concept;Grand;4a12;40 min;Reflexion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Qwirkle;Grand;2a4;30 min a 1h;Reflexion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Question de scrupules;Grand;3 ou plus;;Soiree;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Horreur a Arkham;Grand;1a6;2a4h;JDR, plateau, gestion;2;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Horreur a Arkham extension : la malediction du pharaon noir;;;;Liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Horreur a Arkham extension : l'horreur de Dunwich;;;;Independante;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Horreur a Arkham : vieille edition;Grand;1a8;2a3h;Plateau, gestion;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mysterium;Grand;2a7;42 min;Coop, reflexion, joli;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mysterium extension : hidden signs;;;;Liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Mysterium extension : secrets and lies;;;;Liee;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Trivial poursuit : edition millenium;Grand;2a36;30a45 min;Culture G;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Canvas;Grand;1a5;30 min;Joli;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Smallworld underground;Grand;2a5;30 min a 1h30 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
Takenoko;Grand;2a4;45 min;Plateau;1;https://petitsfrenchies.com/wp-content/uploads/2016/08/cartes-jouer-70797.jpg
